ht_in,male,wages,,
64,0,,,
,1,,,
,1,,,
,1,,,
69,1,10000,,
62,1,15000,,
75,1,14500,,
71,1,10000,,
67,0,42000,,
70,1,25000,,
71,1,50000,,
64,0,24000,,
62,0,34000,,
68,0,15000,,
75,1,55000,,
,0,1500,,
74,1,18000,,
74,1,41000,,
73,1,58000,,
67,0,,,
,0,,,
64,0,38000,,
66,0,30000,,
62,0,4500,,
63,0,17500,,
64,0,28000,,
68,1,32000,,
69,1,,,
67,0,,,
74,1,4500,,
71,1,13000,,
,0,,,
62,0,20000,,
69,1,7000,,
76,1,47000,,
,0,,,
76,1,37000,,
,0,,,
,1,,,
64,0,,,
64,0,18000,,
67,1,50000,,
69,1,60000,,
67,0,17250,,
66,1,48000,,
,0,,,
70,1,39420,,
64,1,,,
70,1,5500,,
73,1,68000,,
74,1,10000,,
68,0,33000,,
73,1,20000,,
66,0,20000,,
68,1,37000,,
70,1,32000,,
75,1,34000,,
,0,,,
73,1,60000,,
71,1,22000,,
,0,,,
,0,,,
73,1,,,
64,0,37000,,
69,1,35000,,
73,1,47380,,
73,1,80000,,
,1,,,
67,0,44000,,
73,1,40000,,
76,1,30000,,
69,1,,,
63,0,0,,
68,1,22000,,
,0,,,
,1,,,
63,0,43000,,
70,1,6000,,
62,0,40000,,
63,0,70000,,
64,0,,,
69,1,,,
67,1,1000,,
59,0,30000,,
69,1,5000,,
62,0,,,
68,1,,,
,0,,,
74,1,32500,,
,0,,,
74,1,35000,,
,1,,,
74,1,46489,,
67,1,32000,,
,0,,,
66,0,6000,,
73,1,53272,,
66,0,121993,,
,1,,,
66,0,0,,
68,1,,,
68,0,10000,,
,0,,,
64,0,35880,,
67,0,24000,,
59,0,16800,,
69,1,50000,,
70,1,49000,,
70,1,3200,,
65,0,,,
75,1,4000,,
71,1,22000,,
70,1,60000,,
65,0,50000,,
,0,,,
63,0,30000,,
64,0,,,
68,1,27000,,
74,1,50000,,
63,0,35000,,
,1,,,
73,1,10000,,
65,0,5000,,
66,0,75000,,
73,1,80000,,
70,1,78000,,
,1,,,
69,1,13000,,
,0,,,
,1,,,
,1,,,
,1,,,
71,0,30000,,
67,0,,,
70,1,30000,,
69,1,0,,
71,0,1500,,
67,0,3000,,
66,0,28000,,
66,0,32000,,
62,0,,,
67,1,,,
65,0,30000,,
70,1,46000,,
75,1,42000,,
,0,,,
,1,,,
66,0,19000,,
67,0,26000,,
70,1,34000,,
67,1,,,
67,0,1200,,
63,0,5000,,
74,1,36000,,
69,1,7000,,
62,0,25000,,
65,0,,,
75,1,25000,,
,1,25000,,
,1,6000,,
64,0,4000,,
,1,,,
70,0,50000,,
62,0,,,
69,1,41000,,
60,0,,,
68,1,42000,,
63,0,,,
,1,19000,,
62,0,14000,,
,1,,,
69,0,57000,,
,1,59800,,
64,0,46000,,
67,1,7500,,
,1,,,
70,1,38000,,
68,1,25000,,
62,0,2100,,
61,0,13000,,
65,0,5200,,
62,0,17000,,
69,1,30000,,
,1,5000,,
64,1,,,
,0,,,
65,0,30000,,
,1,,,
67,1,45000,,
77,0,32000,,
,1,,,
71,1,,,
,0,17000,,
75,0,,,
,1,,,
64,0,10850,,
71,1,31000,,
71,1,28000,,
62,0,50000,,
66,1,20000,,
69,1,,,
67,0,,,
73,1,75000,,
65,0,,,
,1,,,
69,1,33000,,
68,1,40000,,
68,1,35000,,
69,0,38000,,
76,1,20000,,
67,0,15120,,
67,0,27000,,
73,1,,,
71,1,8000,,
77,1,23000,,
73,1,28000,,
59,0,6000,,
61,0,27000,,
,1,,,
61,0,22000,,
,1,,,
71,1,26000,,
69,0,,,
70,0,29000,,
69,1,65000,,
,0,,,
62,0,,,
65,0,,,
73,0,18000,,
69,1,38089,,
62,0,,,
62,0,,,
67,1,,,
71,1,7000,,
66,0,24000,,
74,1,25000,,
,0,,,
64,0,30000,,
,1,,,
70,1,,,
64,0,5000,,
65,0,24000,,
70,1,35000,,
71,0,50000,,
,1,,,
,1,65000,,
67,0,,,
68,0,,,
,1,,,
74,1,17000,,
62,0,60000,,
67,0,,,
,1,,,
74,1,12000,,
,0,2000,,
62,0,25000,,
,0,34000,,
67,1,24000,,
68,1,28000,,
65,0,15000,,
,0,,,
65,0,40000,,
,0,,,
67,1,,,
64,0,8000,,
63,0,,,
67,0,37500,,
65,0,25000,,
,1,30000,,
,1,51000,,
,0,,,
76,1,20000,,
69,0,42000,,
,0,,,
73,1,60000,,
63,0,750,,
,1,75000,,
67,0,33000,,
63,0,15000,,
67,0,,,
71,1,6000,,
73,1,55000,,
67,1,15000,,
71,0,48000,,
70,1,36000,,
71,1,55000,,
74,1,30000,,
71,1,121993,,
74,1,55000,,
69,1,36000,,
71,1,44000,,
,0,,,
,0,,,
,1,37000,,
71,0,55000,,
68,0,44000,,
,1,,,
,1,,,
68,0,80000,,
74,1,121993,,
67,0,75000,,
70,1,15000,,
64,0,36000,,
,1,,,
69,1,1500,,
67,0,,,
,0,,,
76,1,27000,,
66,0,6000,,
73,1,121993,,
75,1,41000,,
71,1,58000,,
74,1,4000,,
,1,32000,,
62,0,26600,,
,1,,,
66,0,30000,,
64,0,25000,,
66,0,28000,,
66,0,41000,,
75,1,48000,,
,1,,,
63,0,31400,,
66,0,25000,,
,0,,,
,1,,,
68,1,28000,,
73,1,121993,,
68,1,77000,,
61,0,,,
65,0,50000,,
69,1,,,
,1,,,
,0,,,
76,1,54000,,
,1,29000,,
69,0,,,
,0,4000,,
74,1,400,,
76,1,6000,,
65,0,2000,,
63,0,11000,,
67,0,,,
69,0,121993,,
63,0,15000,,
63,0,22000,,
61,0,36000,,
,1,11000,,
,0,,,
,1,25000,,
,1,65000,,
59,0,25000,,
,1,,,
68,1,25000,,
64,0,,,
64,1,30000,,
66,0,11040,,
73,1,16000,,
69,1,31000,,
78,1,25000,,
68,1,25000,,
70,1,4000,,
68,1,28000,,
63,0,15000,,
,0,,,
69,0,121993,,
67,0,48000,,
74,1,121993,,
70,1,27000,,
68,1,22500,,
74,1,67000,,
66,0,35000,,
68,0,55000,,
,1,,,
64,0,3000,,
,1,,,
75,1,34000,,
77,1,75000,,
71,1,65000,,
,0,,,
71,1,41000,,
64,0,25000,,
63,0,0,,
70,1,8000,,
62,1,43000,,
63,0,18000,,
69,1,13000,,
63,0,35000,,
,1,,,
66,1,45000,,
,1,,,
68,0,35000,,
63,0,22000,,
71,1,10000,,
,0,,,
71,0,30000,,
,0,10000,,
73,1,,,
71,1,10000,,
63,0,12000,,
,1,,,
75,1,32000,,
69,0,52000,,
,1,,,
71,1,15000,,
69,1,15000,,
,1,9000,,
,1,,,
65,0,40000,,
67,0,11000,,
65,0,55000,,
71,1,25000,,
71,1,35000,,
67,0,,,
,1,,,
63,0,27000,,
62,0,4000,,
70,1,121993,,
66,0,27000,,
62,0,13000,,
65,1,41000,,
69,1,40000,,
70,1,30000,,
,0,,,
,1,,,
,1,,,
,1,43000,,
69,1,45000,,
70,1,67000,,
68,1,,,
63,0,30000,,
66,0,26000,,
,1,,,
64,0,8000,,
66,0,26000,,
69,0,,,
,1,56000,,
69,0,26000,,
,1,,,
,1,15000,,
,0,,,
65,0,,,
,0,,,
62,0,50000,,
71,1,54000,,
,1,47000,,
70,1,39000,,
70,1,44800,,
69,1,47000,,
,1,,,
71,1,30000,,
69,1,,,
69,1,5000,,
67,1,39000,,
70,1,30000,,
,0,,,
68,0,,,
77,1,30000,,
66,0,,,
,1,,,
,1,,,
,0,,,
64,0,26000,,
,1,,,
,1,45000,,
,1,26000,,
,1,12000,,
71,1,18000,,
,1,25000,,
67,1,11000,,
63,0,35000,,
,0,,,
,1,,,
,1,37000,,
73,1,17000,,
63,0,55000,,
62,1,30000,,
67,1,70000,,
,0,,,
,0,,,
,1,,,
,1,,,
,0,,,
,0,,,
67,0,24000,,
73,1,38000,,
65,0,14000,,
61,0,,,
62,0,40000,,
69,1,60000,,
66,1,20000,,
69,1,35000,,
71,1,75000,,
71,1,18000,,
73,1,50000,,
71,1,10000,,
68,1,,,
,0,35800,,
,0,,,
66,1,20000,,
70,1,5985,,
63,0,22000,,
67,1,,,
62,0,13000,,
66,1,21000,,
71,1,15000,,
,0,,,
,1,,,
63,0,32000,,
,0,,,
,1,,,
76,1,21000,,
68,1,,,
68,1,39520,,
,1,,,
62,0,22000,,
75,1,35000,,
71,1,45000,,
65,0,,,
66,1,,,
,1,,,
61,0,,,
61,0,33000,,
,1,,,
61,0,12000,,
69,0,,,
73,1,10000,,
,1,,,
71,1,40000,,
71,1,45000,,
,1,60000,,
67,0,,,
70,1,46000,,
,1,35000,,
67,1,30000,,
70,1,26000,,
65,0,2000,,
66,0,20000,,
,1,,,
,1,,,
,1,,,
,1,,,
62,0,68000,,
76,1,33000,,
67,1,15000,,
61,0,,,
73,1,,,
67,1,15000,,
,1,25000,,
64,0,25000,,
74,1,31000,,
70,1,5000,,
73,1,45000,,
75,1,15000,,
68,1,7000,,
63,0,13000,,
68,0,53000,,
75,1,45000,,
66,0,,,
,0,8000,,
61,0,,,
66,0,13000,,
66,0,,,
,1,18000,,
77,1,27000,,
69,1,25000,,
,1,11247,,
69,1,50000,,
68,1,12000,,
67,1,35000,,
64,0,8000,,
71,1,43000,,
67,0,34000,,
,0,28000,,
70,0,25000,,
61,0,46000,,
68,1,17000,,
65,0,27000,,
67,0,15000,,
,1,,,
76,1,26880,,
,0,,,
62,0,,,
71,0,30000,,
70,1,80000,,
64,0,47000,,
68,0,38000,,
71,1,55000,,
,1,32000,,
62,0,20000,,
73,1,40000,,
,0,17000,,
,0,,,
70,1,14000,,
66,0,,,
,1,,,
66,1,,,
65,0,10000,,
70,1,55000,,
66,1,,,
70,1,,,
,1,,,
68,0,32000,,
71,1,8000,,
65,0,40000,,
,1,,,
62,0,55000,,
,1,,,
68,1,,,
70,1,35000,,
,1,,,
68,1,35000,,
66,1,36000,,
70,1,13000,,
61,1,35500,,
73,1,,,
68,0,35000,,
,1,,,
66,0,121993,,
,1,,,
68,1,34000,,
,1,65000,,
,1,,,
71,1,40000,,
61,0,39000,,
70,1,,,
67,1,27000,,
63,1,23000,,
66,0,21400,,
63,0,18000,,
69,0,42000,,
,1,32000,,
73,1,30000,,
66,1,11000,,
68,0,31000,,
70,1,10500,,
69,1,36000,,
64,0,13000,,
69,0,15000,,
64,0,36000,,
,1,30000,,
68,0,59000,,
67,1,35000,,
,0,,,
,0,,,
65,1,45000,,
,1,,,
75,1,,,
75,1,29000,,
69,1,,,
,0,,,
,0,,,
69,1,45000,,
65,0,30000,,
,0,,,
68,1,34000,,
75,1,,,
75,1,,,
65,0,31000,,
,1,,,
,1,,,
71,1,67000,,
,0,,,
,1,,,
66,0,24000,,
,0,,,
,1,,,
,1,,,
66,0,,,
,1,53000,,
,0,,,
62,0,300,,
75,1,55750,,
63,0,,,
,1,,,
,0,,,
63,0,,,
,1,26000,,
64,0,35000,,
68,1,36500,,
,1,,,
66,0,27000,,
62,0,30000,,
64,0,18000,,
63,0,,,
75,1,27000,,
59,0,49000,,
,1,,,
,0,,,
76,1,40000,,
62,0,,,
75,1,121993,,
63,0,52000,,
65,1,30000,,
62,0,28000,,
64,0,,,
,1,,,
,1,,,
,1,,,
75,1,67000,,
66,0,188,,
76,1,40000,,
,0,,,
64,0,36000,,
69,1,36000,,
71,1,35000,,
,1,,,
70,1,,,
,1,,,
,0,,,
65,0,48000,,
64,0,12000,,
64,0,,,
,0,32000,,
61,0,36000,,
75,1,,,
,0,,,
69,1,121993,,
69,1,55000,,
66,1,25000,,
67,0,33000,,
70,1,52000,,
73,1,,,
,1,,,
,0,,,
68,1,25000,,
,0,,,
,0,,,
69,1,,,
66,0,13000,,
68,1,38000,,
66,0,65000,,
63,0,59000,,
,0,,,
66,1,,,
66,1,24000,,
70,1,45000,,
70,1,12000,,
71,1,32000,,
62,0,,,
63,0,,,
66,1,22000,,
64,0,13000,,
64,0,12048,,
,1,20000,,
70,1,40000,,
,1,22000,,
64,0,1750,,
67,0,16000,,
,1,,,
63,0,,,
,1,46000,,
71,1,32000,,
68,1,23000,,
,1,25000,,
,1,,,
65,0,8000,,
,1,40000,,
,1,29000,,
,0,,,
70,1,24000,,
66,1,27000,,
76,1,20000,,
,1,,,
,1,,,
,1,38000,,
66,0,37000,,
67,0,36000,,
73,1,25000,,
69,0,19000,,
66,0,50000,,
68,1,48000,,
73,1,17000,,
68,1,35000,,
68,1,28000,,
69,1,30000,,
65,0,,,
,0,,,
,0,,,
,1,22000,,
74,1,121993,,
63,0,45000,,
64,0,19670,,
67,1,,,
75,1,40000,,
67,0,15000,,
,1,39000,,
69,0,30000,,
67,0,24000,,
66,0,33000,,
69,1,38000,,
67,0,4000,,
66,0,21000,,
65,0,46000,,
64,0,24000,,
67,0,12000,,
70,1,68000,,
65,0,,,
70,1,43000,,
63,0,,,
,1,28000,,
71,1,30000,,
,1,40000,,
67,0,121993,,
75,1,,,
62,0,48000,,
74,1,25000,,
,1,25000,,
65,0,34000,,
59,0,33000,,
63,0,50000,,
70,1,41000,,
67,1,38000,,
70,1,8000,,
71,1,15000,,
65,0,48000,,
,1,,,
66,0,39750,,
68,0,39000,,
75,1,12000,,
64,0,23000,,
64,0,26000,,
75,1,25000,,
64,1,,,
64,0,14000,,
,0,,,
,0,,,
69,1,21000,,
61,0,,,
73,1,121993,,
66,0,55000,,
68,1,16000,,
74,1,,,
69,1,12000,,
70,1,55000,,
70,1,27000,,
69,1,,,
66,0,22000,,
66,0,17000,,
62,0,12000,,
,1,,,
74,1,12000,,
69,1,20000,,
,1,,,
75,1,23200,,
67,0,50000,,
77,1,43000,,
68,1,30000,,
,0,,,
,1,0,,
65,0,17000,,
,1,,,
76,1,18000,,
69,1,70000,,
74,1,63000,,
66,0,33000,,
70,1,21000,,
68,0,9600,,
,0,,,
64,0,9000,,
,1,25000,,
,1,26000,,
73,1,56000,,
66,0,3800,,
69,0,30000,,
69,1,27000,,
70,1,30000,,
67,1,73000,,
70,1,29000,,
73,1,40000,,
64,0,,,
,1,,,
67,0,40000,,
,0,6000,,
,0,,,
73,1,53000,,
68,0,40000,,
,0,,,
67,0,47000,,
71,1,17000,,
64,0,29000,,
71,1,12000,,
67,1,40000,,
66,0,,,
,1,,,
,1,,,
,0,,,
74,1,,,
69,1,26000,,
,0,,,
,0,,,
70,0,20000,,
,0,,,
62,0,,,
70,1,52000,,
65,0,56000,,
67,1,35000,,
68,1,16000,,
74,1,52000,,
67,0,50000,,
66,0,36400,,
73,1,45000,,
,1,30000,,
,0,,,
74,1,33000,,
65,0,42000,,
63,0,60000,,
,0,,,
64,0,49000,,
,1,50000,,
63,0,13000,,
67,0,6000,,
,1,24000,,
,1,,,
70,1,45000,,
68,0,,,
70,0,38000,,
64,0,15000,,
,1,15000,,
,1,50000,,
68,0,4100,,
69,0,18000,,
66,0,,,
,0,,,
65,1,13500,,
70,1,50000,,
74,1,10000,,
65,0,17000,,
,1,,,
,1,45000,,
77,1,7000,,
,1,,,
73,1,17000,,
70,1,37000,,
66,0,,,
66,0,3000,,
74,1,,,
,1,40000,,
67,1,4000,,
,1,55000,,
77,1,31000,,
67,0,10000,,
,1,,,
62,0,9000,,
66,0,,,
66,0,47500,,
77,1,45922,,
68,1,121993,,
62,0,,,
75,1,10000,,
,1,11850,,
74,1,23000,,
68,1,27000,,
67,0,5500,,
64,0,35000,,
67,1,,,
61,0,,,
74,1,5000,,
68,0,35000,,
62,0,,,
69,0,12000,,
66,0,22000,,
,0,,,
70,1,30000,,
69,1,29000,,
68,0,,,
70,1,48000,,
,1,79000,,
69,1,58000,,
73,1,20000,,
67,0,43000,,
70,1,18000,,
65,1,27000,,
73,1,42000,,
75,1,19000,,
68,0,45000,,
66,0,29000,,
67,1,50000,,
76,1,42000,,
76,1,32000,,
63,0,30000,,
63,0,,,
,0,,,
,1,,,
,0,,,
68,0,,,
68,0,32000,,
65,0,25000,,
71,1,25000,,
,1,37500,,
62,0,67000,,
70,1,50000,,
67,1,15000,,
63,0,22000,,
70,1,72000,,
70,1,18000,,
67,0,,,
68,1,39000,,
67,1,45000,,
64,0,18000,,
65,0,17000,,
77,1,30000,,
71,1,10000,,
61,0,28000,,
61,0,10000,,
,0,,,
65,0,56000,,
,0,,,
,0,,,
74,1,14000,,
,1,,,
73,1,27000,,
83,1,64000,,
63,0,24000,,
71,1,38000,,
73,1,28000,,
63,0,20000,,
64,0,37000,,
,0,11840,,
65,0,53000,,
68,0,34000,,
66,0,26000,,
73,1,,,
67,0,,,
66,1,8000,,
73,1,30000,,
75,1,121993,,
71,1,60000,,
65,0,7000,,
65,0,18000,,
77,1,32500,,
69,1,25000,,
66,0,18000,,
,0,,,
68,1,7000,,
68,1,,,
69,1,,,
61,0,27000,,
66,0,42000,,
,0,,,
,0,,,
61,0,,,
66,0,8000,,
70,1,25000,,
76,1,,,
68,0,21642,,
,1,35000,,
71,0,,,
67,0,30520,,
81,1,33000,,
73,1,,,
66,0,,,
67,0,35000,,
,0,,,
68,0,,,
,1,,,
,0,,,
62,0,,,
,1,,,
,1,,,
,0,,,
,1,,,
71,0,,,
62,0,,,
63,0,28000,,
,1,25000,,
74,1,15000,,
70,1,36000,,
63,0,15000,,
,1,1900,,
,0,,,
,1,,,
63,0,5000,,
,0,,,
,0,,,
62,0,3000,,
68,0,,,
65,0,52000,,
64,0,35000,,
64,0,24000,,
,0,80000,,
61,0,7323,,
67,1,,,
66,0,,,
64,0,45000,,
66,0,,,
70,1,39000,,
70,1,24000,,
,0,,,
,0,,,
74,1,35000,,
66,0,26000,,
67,0,,,
,1,,,
70,1,700,,
71,0,,,
70,1,13000,,
61,0,,,
,1,32800,,
66,1,56000,,
61,0,,,
63,0,35000,,
75,1,,,
,1,100,,
66,1,,,
,0,,,
62,0,40000,,
,1,,,
,1,,,
77,1,,,
71,1,16000,,
,1,,,
65,1,1000,,
61,0,,,
62,0,32000,,
,0,,,
68,1,10000,,
,1,,,
65,1,30000,,
68,1,5000,,
69,1,25500,,
61,0,10500,,
,1,69000,,
64,0,36500,,
,1,,,
68,0,15000,,
,1,,,
76,1,52000,,
,0,,,
,1,,,
62,0,,,
,1,,,
,1,,,
,1,,,
71,1,,,
,1,,,
69,1,60000,,
,1,,,
63,0,30000,,
,0,,,
75,1,27000,,
63,0,14000,,
68,1,,,
70,1,30000,,
66,1,,,
65,0,,,
71,1,55000,,
65,1,,,
64,0,22000,,
62,0,34000,,
64,0,27000,,
76,1,34000,,
69,1,42000,,
,1,,,
,1,,,
,1,,,
,1,,,
75,1,20000,,
70,0,40000,,
71,1,,,
67,0,300,,
77,1,45000,,
74,1,40000,,
61,0,,,
,0,,,
,0,,,
71,1,30000,,
67,1,20000,,
62,0,17000,,
66,0,22000,,
63,0,,,
62,0,,,
63,0,24000,,
68,0,5000,,
73,1,24000,,
70,1,,,
62,0,,,
69,1,36000,,
,0,70000,,
63,0,20000,,
,0,,,
74,1,,,
67,0,73000,,
,1,18000,,
,0,,,
69,1,,,
71,1,,,
73,1,30000,,
,0,,,
65,0,23000,,
68,1,40000,,
69,1,6000,,
,0,,,
73,1,43500,,
64,0,,,
71,1,,,
66,1,7500,,
62,0,,,
69,0,,,
,1,,,
70,1,26000,,
74,1,1300,,
,0,,,
,1,,,
73,1,20000,,
,1,,,
65,0,,,
,1,,,
,1,28000,,
,1,,,
,0,,,
,1,,,
68,1,9000,,
73,1,35000,,
68,1,,,
75,1,25000,,
70,1,15000,,
74,1,,,
67,0,18000,,
68,1,30000,,
,1,,,
67,0,10000,,
66,0,32000,,
65,0,5000,,
67,1,,,
64,0,30000,,
,1,11000,,
61,0,35000,,
73,1,121993,,
75,1,,,
73,1,49500,,
74,1,46000,,
,1,,,
68,0,,,
63,0,14000,,
,1,,,
,0,,,
,1,,,
68,0,5400,,
,1,,,
67,1,25000,,
64,0,30100,,
71,0,24000,,
70,0,47500,,
68,1,25000,,
66,0,39000,,
,0,,,
71,1,25000,,
61,0,,,
,0,,,
63,0,20000,,
70,1,54000,,
71,1,38000,,
63,0,24000,,
61,0,,,
,1,,,
,1,,,
65,0,28000,,
64,0,35000,,
67,0,60000,,
70,1,6000,,
66,0,6400,,
66,0,17000,,
71,1,43000,,
67,0,,,
,0,16000,,
67,0,17000,,
64,0,42000,,
75,1,50000,,
62,1,16500,,
,1,,,
,1,5000,,
71,1,35000,,
64,0,17000,,
67,1,75000,,
68,0,30000,,
65,0,8000,,
65,0,5000,,
68,1,24000,,
73,1,38000,,
,1,,,
64,0,40000,,
62,0,15000,,
61,0,15000,,
,1,,,
67,0,35000,,
,0,,,
63,0,36000,,
66,0,,,
68,1,55000,,
62,0,,,
69,1,18000,,
71,1,35000,,
71,1,10000,,
70,1,18000,,
74,1,54000,,
65,0,6000,,
,1,,,
,0,,,
67,1,31276,,
73,1,,,
63,1,19700,,
65,0,20000,,
67,0,50000,,
73,1,16000,,
,1,45000,,
,0,,,
65,0,35500,,
69,1,14540,,
70,0,,,
78,1,38000,,
,1,,,
70,1,53000,,
69,1,37000,,
61,0,,,
64,0,42000,,
73,1,22000,,
,0,,,
,1,,,
62,0,10000,,
69,1,121993,,
68,0,24000,,
64,0,2700,,
68,0,25000,,
73,1,34778,,
,1,72000,,
,1,40000,,
76,1,64000,,
,1,,,
69,0,36000,,
70,1,36000,,
69,1,20000,,
63,0,11000,,
,1,56000,,
75,1,25000,,
66,0,62000,,
66,0,,,
73,1,5000,,
71,1,13000,,
71,1,19000,,
75,1,32500,,
64,0,16000,,
67,1,40000,,
,1,20000,,
68,1,,,
,1,,,
,1,,,
,1,,,
,0,,,
,1,,,
68,1,10000,,
63,0,27000,,
67,0,45000,,
65,0,,,
59,0,,,
82,1,35000,,
76,1,45000,,
69,1,15000,,
69,1,40000,,
64,0,28000,,
64,0,,,
62,0,,,
65,0,,,
67,1,27040,,
70,1,21492,,
70,0,100,,
73,1,25000,,
75,1,,,
69,0,36000,,
63,0,32000,,
75,1,40000,,
,1,,,
66,1,18000,,
,1,,,
69,1,50000,,
68,0,,,
74,1,38000,,
,1,25000,,
,1,,,
61,0,13000,,
76,1,40000,,
74,1,75000,,
70,1,,,
70,0,47000,,
75,1,30000,,
73,1,27000,,
67,0,5500,,
75,1,,,
65,0,22000,,
68,1,50000,,
,0,,,
74,1,32000,,
,1,,,
,1,,,
63,0,26000,,
,0,,,
67,0,42500,,
66,0,20000,,
73,1,55000,,
,0,12000,,
,0,32000,,
70,0,40000,,
74,1,30000,,
67,0,19000,,
62,0,2000,,
67,0,50000,,
74,1,32000,,
67,1,41000,,
73,1,,,
,1,48000,,
66,0,30000,,
,1,,,
67,0,26000,,
62,0,17000,,
,0,,,
61,0,35000,,
,1,26000,,
62,0,14865,,
65,0,50000,,
,1,,,
,0,,,
63,0,,,
70,1,15000,,
,0,,,
70,0,121993,,
,0,,,
,1,,,
66,0,45000,,
74,1,64000,,
74,1,,,
69,0,,,
62,0,31000,,
69,1,72000,,
70,1,63000,,
64,0,25000,,
66,0,20000,,
,1,,,
71,1,12000,,
63,0,14000,,
66,0,,,
71,1,1000,,
71,0,13000,,
66,1,,,
,1,,,
62,1,450,,
,0,,,
63,0,10000,,
68,1,10000,,
63,0,42000,,
64,0,15000,,
74,1,4000,,
71,1,78000,,
74,1,45000,,
62,0,25000,,
73,1,21000,,
,1,18000,,
68,0,29000,,
69,1,55000,,
62,0,20000,,
73,1,8000,,
64,0,,,
,1,,,
70,0,20000,,
66,0,21000,,
62,0,16000,,
63,0,7000,,
,1,15000,,
70,0,,,
62,0,50000,,
,1,,,
68,0,14000,,
,0,,,
66,0,46000,,
69,0,,,
65,0,,,
62,0,,,
64,0,17000,,
65,0,18000,,
59,0,121993,,
70,1,38000,,
,1,,,
,1,,,
68,1,13500,,
67,0,,,
61,0,,,
65,0,,,
67,0,32000,,
64,0,10000,,
,1,16500,,
69,0,45000,,
65,0,20000,,
70,1,15000,,
,0,,,
69,1,24000,,
,1,,,
76,1,30000,,
70,0,20000,,
73,1,25000,,
70,1,5000,,
,0,,,
,0,,,
75,1,58000,,
67,0,14000,,
65,0,5000,,
,1,30000,,
73,1,30000,,
69,1,13000,,
62,0,27000,,
,1,21000,,
78,1,55000,,
75,1,40000,,
69,0,55000,,
,0,,,
,0,,,
61,0,,,
,0,,,
73,1,13000,,
61,0,28500,,
,1,11000,,
63,0,25000,,
67,1,19000,,
71,1,25000,,
76,1,60000,,
67,0,35000,,
75,1,,,
67,1,8000,,
68,0,2200,,
67,0,300,,
67,1,11309,,
,1,,,
63,0,,,
68,0,,,
66,0,13000,,
,0,12000,,
,1,,,
,1,34000,,
75,1,,,
,0,,,
64,0,32000,,
,1,,,
70,1,,,
,0,,,
65,0,,,
66,0,32000,,
,1,,,
71,1,,,
73,1,3800,,
65,0,28000,,
61,0,22000,,
,1,,,
73,1,34500,,
63,0,10000,,
65,0,,,
70,0,2000,,
67,0,,,
64,0,25000,,
69,1,37000,,
66,1,24000,,
65,0,,,
63,0,44000,,
75,1,121993,,
67,0,27376,,
67,1,2000,,
74,1,45000,,
61,0,,,
68,1,121993,,
,0,,,
,1,,,
71,1,24000,,
66,0,10000,,
70,1,,,
66,1,,,
64,0,25000,,
68,1,2500,,
,0,25000,,
74,1,20000,,
76,1,24000,,
,0,,,
,1,24000,,
,1,,,
63,0,,,
63,0,,,
74,1,30000,,
63,0,,,
61,0,121993,,
71,1,65000,,
66,1,35000,,
70,1,30000,,
66,0,,,
,1,45000,,
68,0,12000,,
,1,25000,,
,0,,,
64,0,50000,,
76,1,,,
67,0,,,
62,0,30000,,
68,1,45000,,
67,0,35000,,
67,0,41000,,
67,0,36000,,
,1,,,
74,1,11000,,
67,0,34000,,
,1,29000,,
67,1,46000,,
,0,,,
,1,,,
,1,,,
75,1,60000,,
,0,,,
,0,,,
,0,,,
,1,,,
,1,45000,,
64,0,76000,,
65,0,60000,,
,1,,,
,0,,,
,1,,,
76,1,,,
,1,41500,,
,1,,,
76,1,35000,,
70,1,,,
76,1,60000,,
69,0,40000,,
,1,,,
65,0,42000,,
65,1,32000,,
65,1,45000,,
,1,,,
61,0,36000,,
65,0,26500,,
69,1,60000,,
71,1,40000,,
66,0,,,
67,0,40000,,
67,0,,,
,0,,,
67,0,,,
71,1,30000,,
62,0,30000,,
73,1,,,
64,0,40000,,
69,0,,,
74,1,5000,,
61,0,25000,,
69,0,27600,,
64,0,26000,,
64,0,45000,,
64,0,26000,,
67,1,45000,,
67,1,25000,,
65,0,40000,,
69,1,15000,,
66,0,37000,,
,0,,,
,1,,,
71,1,40000,,
65,0,18000,,
63,0,,,
62,0,1000,,
67,0,48000,,
,0,,,
66,0,58000,,
65,0,11000,,
,1,,,
73,1,5000,,
71,1,21000,,
69,1,32000,,
62,0,,,
,0,,,
69,1,,,
59,1,,,
66,0,55000,,
63,0,20000,,
62,0,20000,,
64,0,,,
61,0,32000,,
68,1,10000,,
67,1,,,
,1,,,
75,1,33000,,
,1,23000,,
70,1,25000,,
,0,,,
,0,,,
74,1,34000,,
62,0,500,,
74,1,,,
76,1,,,
76,1,70000,,
74,1,18000,,
62,0,6600,,
66,0,25000,,
64,0,121993,,
62,0,41000,,
69,1,40000,,
,1,,,
73,1,7500,,
69,1,30000,,
74,1,73000,,
75,1,32000,,
62,0,39000,,
73,1,,,
,1,,,
71,1,30000,,
,1,,,
69,0,35000,,
73,1,28000,,
68,0,5000,,
66,0,,,
,0,,,
,0,,,
67,0,,,
69,1,,,
71,0,30000,,
63,0,16000,,
,1,32000,,
71,1,80000,,
,1,,,
67,0,,,
70,0,30000,,
,0,,,
,1,,,
66,0,10000,,
,1,,,
66,0,,,
75,1,,,
68,1,12000,,
68,0,3000,,
65,0,41000,,
,1,,,
,1,,,
62,0,,,
73,1,30000,,
,0,10000,,
